Actual Prices,Predicted Prices,Residuals (Actual - Predicted)
0.17,0.8247776443858105,-0.6547776443858104
0.61,1.107336950603094,-0.4973369506030939
21.75,20.04339172466773,1.7066082753322718
25.76,30.281857629870125,-4.521857629870123
0.01,0.12045708065422149,-0.1104570806542215
0.01,0.12587021921828873,-0.11587021921828873
0.38,0.5547399620030611,-0.17473996200306108
194.9,197.08366894480514,-2.1836689448051345
0.36,0.716786988553564,-0.35678698855356406
1.25,0.9644616664109803,0.2855383335890197
100.47,97.38537319444445,3.084626805555544
11.01,11.215808922040674,-0.20580892204067425
0.06,0.1286895438813689,-0.06868954388136891
9.12,9.118740732461982,0.0012592675380176388
5.93,8.98464431850304,-3.0546443185030405
143.86,137.4802779599567,6.379722040043305
0.03,0.0571997521634285,-0.0271997521634285
0.15,0.12832293155320426,0.021677068446795733
